"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Abstract","TL;DR"
"Strategic Role of Artificial Intelligence in Reshaping Global Digital Marketing: Opportunities and Organizational Challenges","https://scispace.com/papers/strategic-role-of-artificial-intelligence-in-reshaping-33zwe4zdljsx","2025","Journal Article","","Abdul Robi Padri
Mar’atus Solikhah
Rudi Ferdiansah","10.59261/jdbs.v2i1.13","","No","","This study explores the strategic role of artificial intelligence (AI) in transforming digital marketing practices across global companies. In the era of rapid technological advancement, AI offers innovative tools that redefine customer engagement, campaign effectiveness, and market competitiveness. Employing a qualitative case study approach, the research gathered data through interviews with marketing executives, employee questionnaires, and direct observation of AI-driven marketing operations in ten multinational companies. The findings reveal that AI significantly enhances campaign personalization and efficiency, with 70% of respondents noting improved product relevance and 80% citing better marketing budget optimization. Despite these benefits, companies face persistent challenges, particularly in integrating systems and preparing employees. Data privacy concerns and the need to strike a balance between automation and creativity also emerged as critical issues. This study concludes that AI, while transformative, requires careful strategic implementation to maximize its potential in global marketing contexts. The study’s implications include guidance on training needs, strategic alignment, and ethical compliance in the adoption of AI.","This study explores AI's strategic role in transforming digital marketing, revealing enhanced campaign personalization and efficiency, but also highlights challenges in integration, employee preparedness, data privacy, and striking a balance between automation and creativity."
"Artificial Intelligence in Digital Marketing: A Systematic Review and Strategic Framework for AI-Augmented Marketing","https://scispace.com/papers/artificial-intelligence-in-digital-marketing-a-systematic-gxe1ppmz842m","2025","Journal Article","Deleted Journal","Mimin Sundari
R Parhana
K. Santhanalakshmi
K N Haridharan","10.47392/irjaem.2025.0410","","No","","Artificial Intelligence (AI) is launching digital marketing to evolve from a supporting function to one of strategic co-creation of customer value. Although earlier studies have examined how certain AI applications are utilized, there still exist limited broad, theory-informed syntheses across marketing domains. In mitigation of this, the present study performs a systematic literature review based on PRISMA 2020 standards. 753 Web of Science, Scopus, and ScienceDirect papers were screened, and 162 peer-reviewed published articles from 2018 to early 2025 were selected for final analysis. Through thematic mapping and grounded coding, the review proposes the AI-Augmented Marketing Framework (AAMF) and underscores five strategic domains wherein AI integration is taking place: personalized engagement, dynamic campaign automation, generative content planning, explainable AI systems, and ethical AI governance. Unlike prior reviews centered on automation and customer relationship management (CRM), this study situates AI as a dynamic capability to facilitate value co-creation, leveraging the Dynamic Capabilities Framework and Service-Dominant Logic. The evaluation also takes into account the twofold potential and risk of generative AI models such as ChatGPT, which facilitate amplifiable creativity while posing ethical and transparency issues. Key limitations include database and language restrictions, the dynamic evolution of AI, and publication bias. The current research contributes a conceptual framework, integrates fragmented literature, and proposes a future research agenda centred on AI-persona alignment, SME adoption, brand equity modelling, and cross-cultural personalization. It provides hands-on guidance on how to manage strategic, ethical, and imaginative aspects of AI in marketing.","This systematic review synthesizes 162 AI marketing studies, proposing the AI-Augmented Marketing Framework (AAMF) across five strategic domains, and highlights the dynamic capability of AI in value co-creation, while addressing ethical and transparency concerns."
"Integrating artificial intelligence into marketing strategies: a comprehensive analysis of consumer engagement and business performance","https://scispace.com/papers/integrating-artificial-intelligence-into-marketing-snnyvwre4k4t","2025","Journal Article","","Bondan Subagyo
Mokhamad Eldon
Nurani Nurani Nurani","10.32424/icsema.v1i1.450","","No","","The integration of Artificial Intelligence (AI) into marketing strategies has revolutionized how businesses engage with consumers and measure performance. This study investigates the impact of AI-driven marketing tools on consumer engagement and overall business outcomes. Utilizing a mixed-methods approach, we analyzed data from 150 companies across various industries that have implemented AI in their marketing efforts. Quantitative data were collected through performance metrics, while qualitative insights were gathered via in-depth interviews with marketing professionals. Our findings indicate that AI applications, such as predictive analytics, chatbots, and personalized content delivery, significantly enhance customer interaction and satisfaction. Companies reported a 25% average increase in customer engagement rates and a 20% improvement in conversion rates post-AI implementation. However, challenges such as data privacy concerns and the need for continuous algorithm training were also identified. The study concludes that while AI presents substantial benefits for marketing, successful integration requires addressing ethical considerations and ensuring transparency. These insights provide valuable guidance for businesses aiming to leverage AI to optimize their marketing strategies and foster stronger consumer relationships.","This study examines the impact of AI-driven marketing tools on consumer engagement and business performance, finding significant enhancements in customer interaction, satisfaction, and conversion rates, but also highlighting challenges such as data privacy concerns and algorithm training needs."
"The Integration of AI in Digital Marketing: Opportunities and Challenges","https://scispace.com/papers/the-integration-of-ai-in-digital-marketing-opportunities-and-qe05edjc8mp0","2025","Journal Article","Journal of informatics education and research","Tejaswini Bastray","10.52783/jier.v5i1.2111","","No","","The integration of Artificial Intelligence (AI) in digital marketing has revolutionized the way businesses interact with customers and optimize their marketing strategies. AI technologies, such as machine learning, natural language processing, and predictive analytics, have enabled marketers to deliver personalized experiences, improve customer engagement, and achieve measurable outcomes. However, this advancement is accompanied by challenges, including ethical concerns, data privacy issues, and the need for skilled professionals. This paper explores the opportunities and challenges presented by AI in digital marketing, providing an in-depth analysis of its potential to reshape the industry. By examining current applications and identifying barriers to implementation, this study aims to contribute to the growing body of knowledge on the intersection of AI and digital marketing. This research paper delves into the integration of artificial intelligence (AI) in digital marketing practices. It scrutinizes the strategies utilized, hurdles encountered, and forthcoming pathways for leveraging AI technologies, including machine learning, natural language processing, and predictive analytics, to refine marketing campaigns and augment customer engagement. By analyzing contemporary trends and emerging innovations, this paper offers insights into the evolving landscape, challenges and opportunities of AI-driven digital marketing.","This study explores the integration of AI in digital marketing, analyzing opportunities and challenges, including personalized experiences, customer engagement, and ethical concerns, to contribute to the growing body of knowledge on AI's impact on the industry."
"The bright and dark sides of value co-creation using generative AI: A survey of decision-makers in German advertising, communication and media agencies","https://scispace.com/papers/the-bright-and-dark-sides-of-value-co-creation-using-gwgi3m4trsvp","2025","Journal Article","Journal of Brand Strategy","Castulus Kolo
Tamara Ranner
Melanie Herfort
Dirk Kleine","10.69554/ovwe7043","","No","","Artificial intelligence (AI) is reshaping advertising, communication and media agencies, enhancing operational efficiency and creativity. These agencies, central to the media business and brand management across all industries, have transitioned from their traditional roles to digital marketing consultants, with AI significantly influencing this evolution in co-creating value. At the same time, AI also bears the risk of co-destruction. This paper examines AI’s current deployment, and its potential future impact based on a survey of 108 decision-makers from German agencies. Results show varied AI adoption across different types of agencies and specific aspects of the overall value creation process, while the orchestration of AI deployment still appears to be in an experimental stage. Decision-makers see enormous further opportunities and also warn of challenges. AI is seen to have already had a strong impact on productivity and is also likely to lead to substantial job losses in the future.","This study surveys 108 German agency decision-makers on AI's impact on value co-creation, revealing varied adoption rates, experimental AI deployment, and concerns over job losses, while highlighting AI's potential for productivity gains and future opportunities."
"Challenges and Opportunities in AI-Driven Marketing Tactics","https://scispace.com/papers/challenges-and-opportunities-in-ai-driven-marketing-tactics-vv4dthhm8ryo","2025","Journal Article","Advances in computational intelligence and robotics book series","Neha Mishra","10.4018/979-8-3373-3476-9.ch002","","No","","In this modern age of computers, Artificial Intelligence (AI) has reinvented marketing, enabling data-driven, individualized campaigns in response to customer needs. The landscape of AI-driven marketing tactics is evolving, and this study explores the opportunities and challenges created by Artificial Intelligence. This study examines how AI can be used to improve customer segmentation, predictive analytics, content optimization, and personalized customer experiences through approaching significant practice. As AI's promise to simplify marketing processes and increase efficiency, there are still many challenges to overcome, including data privacy concerns, algorithmic biases, and a lack of skilled manpower. However, utilizing artificial intelligence in today's dynamic market environment can help marketers to overcome marketing challenges like time constrain, lack of personnel, technical data handling etc. The study explores the synergies in marketing tactics highlighting key areas where marketing principles can enhance recruitment, engagement, and development strategies.","This study explores AI-driven marketing tactics, examining opportunities and challenges in using AI for customer segmentation, predictive analytics, content optimization, and personalized experiences, while addressing data privacy concerns and algorithmic biases."
"Pemanfaatan Artificial Intelligence (AI) dalam Pemasaran Digital: Tantangan dan Peluang","https://scispace.com/papers/pemanfaatan-artificial-intelligence-ai-dalam-pemasaran-3wslkbnqpjk7","2025","Journal Article","Optimal","Faridatul Faridatul
Muhammad Bambang Purwanto","10.55606/optimal.v5i3.7502","","No","","The development of Artificial Intelligence (AI) technology has brought significant changes in digital marketing strategies, allowing businesses to increase efficiency, personalization, and market reach. This research aims to identify forms of AI use in digital marketing, analyse implementation challenges, and explore opportunities that can be maximized by business actors, mainly digital MSMEs in the city of Palembang. Using a descriptive qualitative approach, data were collected through literature studies and semi-structured interviews with business actors and digital marketing practitioners. The results show that AI has been utilized in various forms, such as chatbots, product recommendation systems, targeted advertising, predictive analytics, and content automation. However, its implementation still faces challenges, including low technology literacy, limited human resources, infrastructure costs, and data privacy issues. On the other hand, tremendous opportunities are opening up through personalizing consumer experience, operational efficiency, data-driven product development, and expanding the global digital market. This research is expected to make a theoretical contribution to the development of technology-based marketing literature and become a practical reference for business actors in utilizing AI strategically and sustainably.","This study explores AI adoption in digital marketing, identifying forms of AI use, implementation challenges, and opportunities for businesses, particularly MSMEs in Palembang, and contributes to technology-based marketing literature and practical business strategies."
"Utilising artificial intelligence in digital marketing strategy: Opportunities and challenges for marketers","https://scispace.com/papers/utilising-artificial-intelligence-in-digital-marketing-m4wwe3gvzdj6","2025","Journal Article","Corporate and business strategy review","Blerta Haliti Baruti
Shpresa Bajrami
Arta Hoti Arifaj","10.22495/cbsrv6i2art13","","No","","This study explores the integration of artificial intelligence (AI) in digital marketing, focusing on its impact on marketing practices and the evolving roles of marketers. The research aims to provide insights for professionals and academics by examining how AI-driven content marketing strategies affect consumer behavior, specifically purchase intentions. It hypothesizes that these strategies positively influence purchase intentions through brand awareness, customer retention, and engagement. Using qualitative analysis, case studies, and partial least square structural equation modeling (PLS-SEM), the study investigates the extent to which AI-driven marketing influences purchase intention. The results indicate that AI significantly transforms marketing operations, enhances consumer value, and drives the shift from traditional to digital marketing. PLS-SEM analysis shows that AI-driven content marketing substantially increases brand awareness, retention, and engagement, with its impact on purchase intentions being primarily indirect (Chintalapati &amp; Pandey, 2022; Kumar et al., 2024). The study offers actionable recommendations for stakeholders to adapt to AI-driven marketing and emphasizes understanding indirect influences on purchase decisions.","This study explores AI's impact on digital marketing, examining its effects on consumer behavior, purchase intentions, and marketer roles. AI-driven content marketing significantly increases brand awareness, retention, and engagement, indirectly influencing purchase intentions."
"From test to scale: Leveraging generative AI for the five ‘C’s of digital marketing","https://scispace.com/papers/from-test-to-scale-leveraging-generative-ai-for-the-five-cs-rgsh72dnx220","2025","Journal Article","Applied Marketing Analytics","Kelly Cutler","10.69554/jfkw4935","","No","","Digital marketing has become increasingly complex with the proliferation of new technologies, platforms and data sources competing for shrinking marketing budgets and waning consumer attention spans. Increased government scrutiny and focus on consumer protection have also created additional difficulty and competition for digital marketers. Simultaneously, innovations in machine learning and generative artificial intelligence (GenAI) are driving new levels of operational efficiency, offering marketers transformative tools to enhance productivity. However, many organisations are not prepared to introduce this new technology and create a culture of testing and scaling AI technologies within the organisation. Adoption of advanced tools represents significant opportunities for digital marketers combined with challenges in a business environment bogged down by regulatory concerns, employee apprehension and rising operational costs. To navigate these tumultuous times successfully, digital marketers require a healthy blend of advanced technical knowledge and calculated risk-taking. By concentrating on the five ‘C’s of digital marketing (content, creative, campaigns, conversions and customer), marketers can identify the best instances for adopting GenAI into their process. To maximise impact and efficiency, marketers must commit to bringing GenAI into the organisation with a streamlined method. This paper introduces the ITMS (introduce, test, measure, scale) framework, offering a four-step progression for AI projects from start to scale. With these frameworks, digital marketers can lead an organisation to increased productivity by introducing new and useful GenAI tools to create meaningful value and drive quantifiable efficiency.","This paper introduces the ITMS framework, a four-step progression for AI projects, to help digital marketers leverage generative AI for the five 'C's of digital marketing, enhancing productivity and efficiency in a complex business environment."
"Examining the Disruptive Influence of Artificial Intelligence on Digital Marketing and Advertising in the Philippines","https://scispace.com/papers/examining-the-disruptive-influence-of-artificial-d43330vzdgh2","2025","Journal Article","","John Heland Jasper C. Ortega","10.1109/icsgrc65918.2025.11159801","","No","","Artificial intelligence (AI) is becoming a disruptive force in digital marketing and advertising in the Philippines, transforming how brands plan, execute, and engage with their audiences. This study explores the impact of AI technologies such as automated targeting, personalized content delivery, and campaign optimization on industry practices and professional skillsets. Using the Task Technology Fit (TTF) Model and sentiment analysis, the research identifies a growing dependence on AI tools alongside significant challenges. These include a shortage of AI-related training opportunities, limited institutional support, and ethical concerns related to privacy and algorithmic bias. Despite these obstacles, there is cautious optimism among marketing professionals regarding AI’s potential to enhance creativity, efficiency, and strategic decision-making. The findings emphasize the importance of developing human-AI collaboration frameworks, strengthening ethical standards, and promoting AI literacy across sectors. Collaboration among educational institutions, industry leaders, and policymakers is essential to building a resilient and future-ready advertising workforce in the Philippines.","This study examines the impact of AI on digital marketing and advertising in the Philippines, highlighting its transformative influence, challenges, and opportunities for human-AI collaboration, creativity, and strategic decision-making, with a focus on developing a future-ready advertising workforce."
